"filename", "language", "Python", "comment", "blank", "total"
"/Users/joelpita/Documents/Coding/Python Practise/Suduko/TestHarness/TestHarness.py", "Python", 2, 0, 0, 2
"/Users/joelpita/Documents/Coding/Python Practise/Suduko/TestHarness/test_solving_techniques.py", "Python", 135, 14, 9, 158
"/Users/joelpita/Documents/Coding/Python Practise/Suduko/solving_techniques.py", "Python", 2, 0, 0, 2
"Total", "-", 139, 14, 9, 162
